SYMBOL,COMPANY,SECTOR,INDUSTRY
360ONE,360 ONE WAM Ltd.,Financial Services,
3MINDIA,3M India Ltd.,Diversified,
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,
AARTIIND,Aarti Industries Ltd.,Chemicals,
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,
AAVAS,Aavas Financiers Ltd.,Financial Services,
ABB,ABB India Ltd.,Capital Goods,
ABBOTINDIA,Abbott India Ltd.,Healthcare,
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,
ABREL,Aditya Birla Real Estate Ltd.,Realty,
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,
ACC,ACC Ltd.,Construction Materials,
ACE,Action Construction Equipment Ltd.,Capital Goods,
ACI,Archean Chemical Industries Ltd.,Chemicals,
ACMESOLAR,ACME Solar Holdings Ltd.,Power,
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,
ADANIENSOL,Adani Energy Solutions Ltd.,Power,
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,
ADANIGREEN,Adani Green Energy Ltd.,Power,
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,
ADANIPOWER,Adani Power Ltd.,Power,
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,
AEQUS,Aequs Ltd.,Capital Goods,
AETHER,Aether Industries Ltd.,Chemicals,
AFCONS,Afcons Infrastructure Ltd.,Construction,
AFFLE,Affle 3i Ltd.,Information Technology,
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare,
AGL,Allcargo Global Ltd.,Services,
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,
AIAENG,AIA Engineering Ltd.,Capital Goods,
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,
ALKEM,Alkem Laboratories Ltd.,Healthcare,
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,Chemicals,
ALOKINDS,Alok Industries Ltd.,Textiles,
AMBER,Amber Enterprises India Ltd.,Consumer Durables,
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,
ANANTRAJ,Anant Raj Ltd.,Realty,
ANGELONE,Angel One Ltd.,Financial Services,
ANTHEM,Anthem Biosciences Ltd.,Healthcare,
ANUP,The Anup Engineering Ltd.,Capital Goods,
ANURAS,Anupam Rasayan India Ltd.,Chemicals,
APARINDS,Apar Industries Ltd.,Capital Goods,
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,
APLLTD,Alembic Pharmaceuticals Ltd.,Healthcare,
APOLLO,Apollo Micro Systems Ltd.,Capital Goods,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,
ARVIND,Arvind Ltd.,Textiles,
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services,
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,
ASHAPURMIN,Ashapura Minechem Ltd.,Metals & Mining,
ASHOKA,Ashoka Buildcon Ltd.,Construction,
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components,
ASTERDM,Aster DM Quality Care Ltd.,Healthcare,
ASTRAL,Astral Ltd.,Capital Goods,
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods,
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,
ATLANTAELE,Atlanta Electricals Ltd.,Capital Goods,
ATUL,Atul Ltd.,Chemicals,
AUBANK,AU Small Finance Bank Ltd.,Financial Services,
AURIONPRO,Aurionpro Solution Ltd.,Information Technology,
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,
AVALON,Avalon Technologies Ltd.,Capital Goods,
AVANTIFEED,Avanti Feeds Ltd.,Fast Moving Consumer Goods,
AVL,Aditya Vision Ltd.,Consumer Services,
AWFIS,Awfis Space Solutions Ltd.,Services,
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,
AXISBANK,Axis Bank Ltd.,Financial Services,
AXISCADES,AXISCADES Technologies Ltd.,Capital Goods,
AZAD,Azad Engineering Ltd.,Capital Goods,
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,
BAJAJELEC,Bajaj Electricals Ltd,Consumer Durables,
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,
BALAMINES,Balaji Amines Ltd.,Chemicals,
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,
BANCOINDIA,Banco Products (India) Ltd.,Automobile and Auto Components,
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,
BANKBARODA,Bank of Baroda,Financial Services,
BANKINDIA,Bank of India,Financial Services,
BATAINDIA,Bata India Ltd.,Consumer Durables,
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,
BBOX,Black Box Ltd.,Information Technology,
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,
BDL,Bharat Dynamics Ltd.,Capital Goods,
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,
BEL,Bharat Electronics Ltd.,Capital Goods,
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,
BEML,BEML Ltd.,Capital Goods,
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,
BIOCON,Biocon Ltd.,Healthcare,
BIRLACORPN,Birla Corporation Ltd.,Construction Materials,
BLACKBUCK,Blackbuck Ltd.,Services,
BLS,BLS International Services Ltd.,Consumer Services,
BLUEDART,Blue Dart Express Ltd.,Services,
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,
BLUESTARCO,Blue Star Ltd.,Consumer Durables,
BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables,
BORORENEW,Borosil Renewables Ltd.,Capital Goods,
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,
BRIGADE,Brigade Enterprises Ltd.,Realty,
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,
BSE,BSE Ltd.,Financial Services,
BSOFT,Birlasoft Ltd.,Information Technology,
CAMPUS,Campus Activewear Ltd.,Consumer Durables,
CAMS,Computer Age Management Services Ltd.,Financial Services,
